EMPRESA;REGIAO;DATACENTER;ZONA;SERVIDOR;CPU;RAM_TOTAL;RAM_USADA;RAM_PERCENT;DISCO_TOTAL;DISCO_USADO;DISCO_PERCENT;LATENCIA;PACOTES_ENVIADOS;PACOTES_RECEBIDOS;PACOTES_PERDIDOS;QTD_PR;PROCESSO1_CPU;PORCENTAGEM_PROCESSO1_CPU;PROCESSO2_CPU;PORCENTAGEM_PROCESSO2_CPU;PROCESSO3_CPU;PORCENTAGEM_PROCESSO3_CPU;PROCESSO1_RAM;PORCENTAGEM_PROCESSO1_RAM;PROCESSO2_RAM;PORCENTAGEM_PROCESSO2_RAM;PROCESSO3_RAM;PORCENTAGEM_PROCESSO3_RAM;QTD_NUCLEOS;USO_USER;USO_SISTEM;BOOTTIME;DATA_HORA;DIA_SEMANA;JOGADORES_ATIVOS
SteamData;São Paulo;DC-SP01;ZonaB;SRV-DB-01;45.67;34359738368;12432321031;36.18;536870912000;402643119392;75.0;101.0;171805;87870;21;269;chrome.exe;15.86;python.exe;5.21;discord.exe;11.81;chrome.exe;2718049763;discord.exe;1382266459;python.exe;945814893;8;55.36;26.58;1777822389;2026-05-26 15:33:09;Tuesday;792962
SteamData;Rio de Janeiro;DC-RJ01;ZonaC;SRV-WEB-01;56.97;34359738368;29395051525;85.55;536870912000;381492503850;71.06;20.44;192567;223174;25;282;chrome.exe;28.17;python.exe;14.62;discord.exe;10.91;chrome.exe;3580088595;discord.exe;1189718737;python.exe;688771442;16;65.78;19.02;1778167989;2026-05-26 15:33:09;Tuesday;663356
SteamData;Porto Alegre;DC-POA01;ZonaC;SRV-WEB-01;68.44;34359738368;23952419092;69.71;536870912000;235835766873;43.93;88.59;128730;331111;17;194;chrome.exe;14.81;python.exe;18.35;discord.exe;7.89;chrome.exe;3888095366;discord.exe;652508738;python.exe;931502440;32;66.03;9.89;1778340789;2026-05-26 15:33:09;Tuesday;843903
SteamData;São Paulo;DC-SP01;ZonaC;SRV-WEB-01;25.36;34359738368;28034307605;81.59;536870912000;347604159935;64.75;74.34;145777;141475;25;355;chrome.exe;31.32;python.exe;22.25;discord.exe;5.6;chrome.exe;2671779324;discord.exe;1362171230;python.exe;838084105;16;62.38;9.21;1778686389;2026-05-26 15:53:09;Tuesday;566123
SteamData;Rio de Janeiro;DC-RJ01;ZonaA;SRV-API-01;43.23;34359738368;23443128064;68.23;536870912000;335116371580;62.42;48.35;61131;276456;26;173;chrome.exe;37.84;python.exe;7.5;discord.exe;8.11;chrome.exe;3849285189;discord.exe;1869628320;python.exe;629416046;8;54.52;25.33;1778945589;2026-05-26 15:53:09;Tuesday;665246
SteamData;Porto Alegre;DC-POA01;ZonaA;SRV-WEB-01;89.46;34359738368;27260267795;79.34;536870912000;266599776406;49.66;66.79;150380;144498;5;378;chrome.exe;38.71;python.exe;23.02;discord.exe;8.48;chrome.exe;3678961707;discord.exe;620871010;python.exe;514994565;16;18.53;19.89;1780068789;2026-05-26 15:53:09;Tuesday;569964
SteamData;São Paulo;DC-SP01;ZonaC;SRV-API-01;40.67;34359738368;26064096821;75.86;536870912000;406822183792;75.78;21.2;81825;345297;6;200;chrome.exe;11.83;python.exe;14.71;discord.exe;4.95;chrome.exe;1281036089;discord.exe;1700985168;python.exe;821136812;32;59.99;27.8;1778254389;2026-05-26 16:13:09;Tuesday;886583
SteamData;Rio de Janeiro;DC-RJ01;ZonaA;SRV-DB-01;55.99;34359738368;14622043836;42.56;536870912000;311141320092;57.95;59.13;223638;192813;25;177;chrome.exe;20.31;python.exe;21.57;discord.exe;13.69;chrome.exe;2570222031;discord.exe;503136170;python.exe;789057561;32;51.48;13.25;1779982389;2026-05-26 16:13:09;Tuesday;771806
SteamData;Porto Alegre;DC-POA01;ZonaA;SRV-WEB-01;53.51;34359738368;14754059828;42.94;536870912000;329157352539;61.31;83.95;143908;362342;24;288;chrome.exe;26.37;python.exe;19.68;discord.exe;10.11;chrome.exe;2997741041;discord.exe;1023337350;python.exe;946223937;8;42.56;29.23;1779377589;2026-05-26 16:13:09;Tuesday;724352
SteamData;São Paulo;DC-SP01;ZonaA;SRV-API-01;29.77;34359738368;26191538779;76.23;536870912000;258759267332;48.2;59.8;275200;302378;15;320;chrome.exe;35.95;python.exe;21.0;discord.exe;11.03;chrome.exe;1289104062;discord.exe;1833156344;python.exe;668589741;16;40.6;12.31;1779377589;2026-05-26 16:33:09;Tuesday;765559
SteamData;Rio de Janeiro;DC-RJ01;ZonaA;SRV-API-01;52.87;34359738368;12300416866;35.8;536870912000;290160528882;54.05;33.43;274707;162377;8;367;chrome.exe;10.77;python.exe;6.28;discord.exe;10.4;chrome.exe;3414123671;discord.exe;1922209162;python.exe;647739126;32;68.37;7.96;1779463989;2026-05-26 16:33:09;Tuesday;547172
SteamData;Porto Alegre;DC-POA01;ZonaB;SRV-DB-01;38.41;34359738368;14728775013;42.87;536870912000;261777520860;48.76;52.27;115681;211295;14;238;chrome.exe;26.6;python.exe;19.86;discord.exe;5.73;chrome.exe;1418385398;discord.exe;1300421736;python.exe;897328923;8;27.44;13.28;1779377589;2026-05-26 16:33:09;Tuesday;672136
SteamData;São Paulo;DC-SP01;ZonaB;SRV-API-01;47.8;34359738368;26069154912;75.87;536870912000;408775528044;76.14;80.77;120432;326064;15;241;chrome.exe;37.69;python.exe;6.52;discord.exe;2.25;chrome.exe;1565020952;discord.exe;1560192418;python.exe;536466339;8;24.21;9.15;1779463989;2026-05-26 16:53:09;Tuesday;580005
